,covariates
0,green_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
1,blue_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
2,red_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
3,red_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
4,blue_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
5,green_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
6,red_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
7,nir_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
8,green_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
9,red_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
10,blue_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
11,blue_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
12,nir_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
13,blue_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
14,swir1_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
15,red_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
16,green_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
17,green_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
18,blue_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
19,nir_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
20,nir_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
21,green_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
22,red_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
23,swir1_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
24,swir1_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
25,swir1_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
26,nir_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
27,swir2_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
28,swir2_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
29,swir2_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
30,nir_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
31,thermal_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
32,swir2_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
33,thermal_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
34,thermal_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
35,thermal_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
36,thermal_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
37,swir1_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
38,thermal_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
39,swir2_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
40,swir1_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
41,swir2_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
42,clm_lst_mod11a2.nighttime.m05_sd_1km_s0..0cm_2000..2021_v1.2
43,clm_lst_mod11a2.daytime.m11_p50_1km_s0..0cm_2000..2021_v1.2
44,clm_lst_mod11a2.daytime.m03_sd_1km_s0..0cm_2000..2021_v1.2
45,dtm_elevation_merit.dem_m_250m_s0..0cm_2017_v1.0
46,clm_lst_mod11a2.nighttime.m07_p50_1km_s0..0cm_2000..2021_v1.2
47,clm_lst_mod11a2.nighttime.m09_p50_1km_s0..0cm_2000..2021_v1.2
48,clm_lst_mod11a2.daytime.m09_sd_1km_s0..0cm_2000..2021_v1.2
49,clm_lst_mod11a2.daytime.m05_sd_1km_s0..0cm_2000..2021_v1.2
50,clm_lst_mod11a2.nighttime.m11_p50_1km_s0..0cm_2000..2021_v1.2
51,clm_lst_mod11a2.daytime.m06_sd_1km_s0..0cm_2000..2021_v1.2
52,clm_lst_mod11a2.daytime.m08_sd_1km_s0..0cm_2000..2021_v1.2
53,clm_lst_mod11a2.nighttime.m12_p50_1km_s0..0cm_2000..2021_v1.2
54,dtm.bareearth_ensemble_p10_30m_s_2018_go_epsg4326_v20230210
55,clm_lst_mod11a2.daytime.m08_p50_1km_s0..0cm_2000..2021_v1.2
56,clm_lst_mod11a2.daytime.m12_sd_1km_s0..0cm_2000..2021_v1.2
57,clm_lst_mod11a2.nighttime.m12_sd_1km_s0..0cm_2000..2021_v1.2
58,lcv_accessibility.to.cities_map.ox.var3_m_1km_s0..0cm_2015_v14052019
59,clm_lst_mod11a2.nighttime.m08_p50_1km_s0..0cm_2000..2021_v1.2
60,lcv_accessibility.to.cities_map.ox.var8_m_1km_s0..0cm_2015_v14052019
61,clm_lst_mod11a2.daytime.m11_sd_1km_s0..0cm_2000..2021_v1.2
62,clm_lst_mod11a2.nighttime.m10_p50_1km_s0..0cm_2000..2021_v1.2
63,clm_lst_mod11a2.nighttime.m02_p50_1km_s0..0cm_2000..2021_v1.2
64,dtm_slope_merit.dem_m_250m_s0..0cm_2017_v1.0
65,clm_lst_mod11a2.daytime.m04_sd_1km_s0..0cm_2000..2021_v1.2
66,clm_lst_mod11a2.nighttime.m08_sd_1km_s0..0cm_2000..2021_v1.2
67,clm_lst_mod11a2.daytime.m06_p50_1km_s0..0cm_2000..2021_v1.2
68,clm_lst_mod11a2.nighttime.m10_sd_1km_s0..0cm_2000..2021_v1.2
69,clm_lst_mod11a2.daytime.m10_sd_1km_s0..0cm_2000..2021_v1.2
70,lcv_accessibility.to.cities_map.ox.var10_m_1km_s0..0cm_2015_v14052019
71,lcv_accessibility.to.cities_map.ox.var11_m_1km_s0..0cm_2015_v14052019
72,clm_lst_mod11a2.nighttime.m04_sd_1km_s0..0cm_2000..2021_v1.2
73,dtm_easthness_merit.dem_m_250m_s0..0cm_2018_v1.0
74,clm_lst_mod11a2.daytime.m07_p50_1km_s0..0cm_2000..2021_v1.2
75,clm_lst_mod11a2.nighttime.m02_sd_1km_s0..0cm_2000..2021_v1.2
76,clm_lst_mod11a2.nighttime.m03_p50_1km_s0..0cm_2000..2021_v1.2
77,clm_lst_mod11a2.daytime.m02_p50_1km_s0..0cm_2000..2021_v1.2
78,clm_lst_mod11a2.nighttime.m06_p50_1km_s0..0cm_2000..2021_v1.2
79,clm_lst_mod11a2.nighttime.m11_sd_1km_s0..0cm_2000..2021_v1.2
80,clm_lst_mod11a2.daytime.m09_p50_1km_s0..0cm_2000..2021_v1.2
81,lcv_accessibility.to.cities_map.ox.var1_m_1km_s0..0cm_2015_v14052019
82,clm_lst_mod11a2.daytime.m04_p50_1km_s0..0cm_2000..2021_v1.2
83,clm_lst_mod11a2.daytime.m07_sd_1km_s0..0cm_2000..2021_v1.2
84,lcv_accessibility.to.cities_map.ox.var5_m_1km_s0..0cm_2015_v14052019
85,clm_lst_mod11a2.nighttime.m04_p50_1km_s0..0cm_2000..2021_v1.2
86,clm_lst_mod11a2.daytime.m05_p50_1km_s0..0cm_2000..2021_v1.2
87,clm_lst_mod11a2.daytime.m02_sd_1km_s0..0cm_2000..2021_v1.2
88,clm_lst_mod11a2.nighttime.m09_sd_1km_s0..0cm_2000..2021_v1.2
89,clm_lst_mod11a2.nighttime.m07_sd_1km_s0..0cm_2000..2021_v1.2
90,clm_lst_mod11a2.daytime.m10_p50_1km_s0..0cm_2000..2021_v1.2
91,dtm_northness_merit.dem_m_250m_s0..0cm_2018_v1.0
92,clm_lst_mod11a2.nighttime.m06_sd_1km_s0..0cm_2000..2021_v1.2
93,clm_lst_mod11a2.daytime.m12_p50_1km_s0..0cm_2000..2021_v1.2
94,lcv_accessibility.to.cities_map.ox.var2_m_1km_s0..0cm_2015_v14052019
95,clm_lst_mod11a2.nighttime.m03_sd_1km_s0..0cm_2000..2021_v1.2
96,clm_lst_mod11a2.nighttime.m05_p50_1km_s0..0cm_2000..2021_v1.2
97,clm_lst_mod11a2.daytime.m03_p50_1km_s0..0cm_2000..2021_v1.2
98,lcv_water.distance_glad.interanual.dynamic.classes_pxl_100m_0..0cm_1999..2021_v2021
99,wv_mcd19a2v061.seasconv.m.m01_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
100,lcv_accessibility.to.cities_map.ox.var4_m_1km_s0..0cm_2015_v14052019
101,lcv_road.distance_osm.highways.low.density_pxl_100m_0..0cm_2022_v19072022
102,wv_mcd19a2v061.seasconv.m.m03_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
103,lcv_accessibility.to.cities_map.ox.var7_m_1km_s0..0cm_2015_v14052019
104,wv_mcd19a2v061.seasconv.m.m01_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
105,wv_mcd19a2v061.seasconv.m.m04_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
106,wv_mcd19a2v061.seasconv.m.m06_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
107,lcv_accessibility.to.cities_map.ox.var12_m_1km_s0..0cm_2015_v14052019
108,lcv_accessibility.to.cities_map.ox.var9_m_1km_s0..0cm_2015_v14052019
109,wv_mcd19a2v061.seasconv.m.m05_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
110,lcv_accessibility.to.cities_map.ox.var6_m_1km_s0..0cm_2015_v14052019
111,lcv_road.distance_osm.highways.high.density_pxl_100m_0..0cm_2022_v19072022
112,wv_mcd19a2v061.seasconv.m.m04_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
113,wv_mcd19a2v061.seasconv.m.m02_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
114,wv_mcd19a2v061.seasconv.m.m10_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
115,wv_mcd19a2v061.seasconv.m.m02_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
116,wv_mcd19a2v061.seasconv.m.m03_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
117,wv_mcd19a2v061.seasconv.m.m08_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
118,wv_mcd19a2v061.seasconv.m.m08_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
119,wv_mcd19a2v061.seasconv.m.m06_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
120,wv_mcd19a2v061.seasconv.m.m05_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
121,wv_mcd19a2v061.seasconv.m.m07_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
122,wv_mcd19a2v061.seasconv.m.m07_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
123,wv_mcd19a2v061.seasconv.m.m12_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
124,wv_mcd19a2v061.seasconv.m.m09_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
125,wv_mcd19a2v061.seasconv.m.m12_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
126,wv_mcd19a2v061.seasconv.m.m10_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
127,wv_mcd19a2v061.seasconv.m.m09_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
128,wv_mcd19a2v061.seasconv.m.m11_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
129,wv_mcd19a2v061.seasconv.m.m11_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
130,ndvi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
131,ndwi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
132,bsi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
133,ndti_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
134,nirv_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
135,evi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
136,fapar_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
137,ndvi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
138,ndwi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
139,bsi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
140,ndti_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
141,nirv_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
142,evi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
143,fapar_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
144,ndvi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
145,ndwi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
146,bsi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
147,ndti_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
148,nirv_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
149,evi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
150,fapar_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
151,ndvi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
152,ndwi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
153,bsi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
154,ndti_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
155,nirv_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
156,evi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
157,fapar_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
158,ndvi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
159,ndwi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
160,bsi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
161,ndti_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
162,nirv_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
163,evi_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
164,fapar_glad.SeasConv.ard2_m_30m_s_0901_1031_go_epsg.4326_v20230908
165,ndvi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
166,ndwi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
167,bsi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
168,ndti_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
169,nirv_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
170,evi_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
171,fapar_glad.SeasConv.ard2_m_30m_s_1101_1231_go_epsg.4326_v20230908
172,bsf_glad.SeasConv.ard2_m_30m_s_go_epsg.4326_v20230908
173,clm_lst_max.geom.temp_m_30m_s_m1
174,clm_lst_min.geom.temp_m_30m_s_m1
175,clm_lst_max.geom.temp_m_30m_s_m2
176,clm_lst_min.geom.temp_m_30m_s_m2
177,clm_lst_max.geom.temp_m_30m_s_m3
178,clm_lst_min.geom.temp_m_30m_s_m3
179,clm_lst_max.geom.temp_m_30m_s_m4
180,clm_lst_min.geom.temp_m_30m_s_m4
181,clm_lst_max.geom.temp_m_30m_s_m5
182,clm_lst_min.geom.temp_m_30m_s_m5
183,clm_lst_max.geom.temp_m_30m_s_m6
184,clm_lst_min.geom.temp_m_30m_s_m6
185,clm_lst_max.geom.temp_m_30m_s_m7
186,clm_lst_min.geom.temp_m_30m_s_m7
187,clm_lst_max.geom.temp_m_30m_s_m8
188,clm_lst_min.geom.temp_m_30m_s_m8
189,clm_lst_max.geom.temp_m_30m_s_m9
190,clm_lst_min.geom.temp_m_30m_s_m9
191,clm_lst_max.geom.temp_m_30m_s_m10
192,clm_lst_min.geom.temp_m_30m_s_m10
193,clm_lst_max.geom.temp_m_30m_s_m11
194,clm_lst_min.geom.temp_m_30m_s_m11
195,clm_lst_max.geom.temp_m_30m_s_m12
196,clm_lst_min.geom.temp_m_30m_s_m12
